claim,category,label
The supplement eliminates the need for prescribed medication.,health,high_priority
The hospital reported zero infections last month.,health,needs_verification
Smoking increases the risk of lung cancer.,health,context_sufficient
The new therapy has no side effects.,health,high_priority
This is the hottest year ever recorded on Earth.,environmental,high_priority
Global sea levels rose by 3.4 millimeters last year.,environmental,high_priority
The rainforest lost 10 percent of its cover this decade.,environmental,high_priority
Recycling rates improved slightly in the region.,environmental,needs_verification
Carbon emissions in the region fell for the first time in a decade.,environmental,high_priority
"India launched a new satellite in 2025 and the satellite weighs 5,000 kilograms.",scientific,needs_verification
"The company increased its revenue by 40 percent in 2025 and hired 10,000 employees.",corporate,high_priority
India has 28 states and will become the world's largest economy by 2030.,political,high_priority
The city built a new stadium and it will host the finals next year.,corporate,needs_verification
The vaccine passed clinical trials and will be available by next spring.,health,high_priority
"The clinical trial enrolled 3,000 participants.",health,needs_verification
The stock market consists of exchanges where shares are traded.,financial,context_sufficient
Sleep is essential for physical and mental recovery.,health,context_sufficient
A corporation is a legal entity separate from its owners.,corporate,context_sufficient
The hospital reduced patient wait times by 30 percent.,health,high_priority
The startup raised 50 million dollars in its latest funding round.,financial,high_priority
Germany is located in Europe.,geography,context_sufficient
The professor is currently the department chair.,person,needs_verification
The school district revised its curriculum this year.,political,needs_verification
Egypt is located in Africa.,geography,context_sufficient
The Nile is a river in Africa.,geography,context_sufficient
The surgery has a 99 percent success rate.,health,high_priority
"A balanced diet includes proteins, carbohydrates, and fats.",health,context_sufficient
The clinic introduced a new appointment booking system.,health,needs_verification
Air quality in the city improved marginally this year.,environmental,needs_verification
The country will hold elections within six months.,political,high_priority
The retailer's online sales grew by 25 percent this quarter.,financial,needs_verification
The glacier has retreated more than any other on record.,environmental,high_priority
The startup raised new funding and plans to double its team next year.,corporate,high_priority
"The speed of light is approximately 300,000 kilometers per second.",scientific,context_sufficient
Brazil is located in South America.,geography,context_sufficient
The factory hired additional staff for the holiday season.,corporate,needs_verification
Latticework Robotics launched a redesigned website this year.,corporate,needs_verification
The drug reverses the effects of aging.,health,high_priority
The vaccine will be distributed to the public by next spring.,health,high_priority
Solstice Media relocated its headquarters this year.,corporate,needs_verification
Verdant Foods upgraded its customer support system this year.,corporate,needs_verification
The data breach eroded customer trust in the platform.,corporate,high_priority
Acme Corp upgraded its customer support system this year.,corporate,needs_verification
"If the bill passes, small businesses could face new tax rules.",political,high_priority
A square has four equal sides.,scientific,context_sufficient
The research team observed unusual migration patterns.,scientific,needs_verification
The bank updated its mobile app interface.,financial,needs_verification
The treatment is available at no cost to patients.,health,needs_verification
The airline will add five new international routes next year.,corporate,high_priority
Renewable energy comes from naturally replenished sources.,environmental,context_sufficient
The country's exports increased by 18 percent last year.,financial,high_priority
Nexora Technologies relocated its headquarters this year.,corporate,needs_verification
The company will report record profits next quarter.,financial,high_priority
Fernbrook Health launched a redesigned website this year.,corporate,needs_verification
The moon orbits the Earth.,scientific,context_sufficient
The strike paralyzed the city's public transport system.,corporate,needs_verification
The city's water usage dropped by 12 percent this summer.,environmental,needs_verification
Vietnam is located in Asia.,geography,context_sufficient
The layoffs devastated the local economy.,financial,high_priority
A merger occurs when two companies combine into one.,corporate,context_sufficient
Deforestation reduces the number of trees in a region.,environmental,context_sufficient
An algorithm is a step-by-step procedure for solving a problem.,scientific,context_sufficient
Vaccines work by training the immune system to recognize pathogens.,health,context_sufficient
Voter turnout increased by 9 percent compared to the previous election.,political,high_priority
Photosynthesis converts sunlight into chemical energy in plants.,scientific,context_sufficient
"If elected, the candidate says she would lower taxes.",political,high_priority
The airport terminal underwent minor renovations.,corporate,needs_verification
He is the youngest CEO in the company's history.,corporate,needs_verification
The Sahara is a desert in Africa.,geography,context_sufficient
The new regulation crushed small farmers' profits.,financial,high_priority
Kenya is located in Africa.,geography,context_sufficient
A budget deficit occurs when spending exceeds revenue.,financial,context_sufficient
Norway is located in Europe.,geography,context_sufficient
Democracy is a system of government by the people.,political,context_sufficient
The company's new office reduced its carbon footprint.,environmental,needs_verification
The country signed the treaty and tensions have already begun to ease.,political,needs_verification
Bluepeak Industries upgraded its customer support system this year.,corporate,needs_verification
The nonprofit raised funds for a new community center.,corporate,needs_verification
A century has 100 years.,scientific,context_sufficient
The city introduced a new recycling program.,environmental,needs_verification
"If the trend continues, the lake could dry up within a decade.",environmental,high_priority
Peru is located in South America.,geography,context_sufficient
Ironclad Logistics relocated its headquarters this year.,corporate,needs_verification
The bridge will open to traffic by the end of next year.,corporate,high_priority
Australia is located in Oceania.,geography,context_sufficient
Recycling reduces the amount of waste sent to landfills.,environmental,context_sufficient
The school's graduation rate rose by 5 percent this year.,statistical,needs_verification
The senator is the longest-serving member of the committee.,political,needs_verification
Canada is located in North America.,geography,context_sufficient
Inflation refers to a general rise in prices over time.,financial,context_sufficient
The film festival added a new category this year.,corporate,needs_verification
The human body has 206 bones in adulthood.,scientific,context_sufficient
Thailand is located in Asia.,geography,context_sufficient
The clinic's new program improved patient recovery times.,health,needs_verification
The region will experience severe drought conditions next summer.,environmental,high_priority
"If funding is secured, the project may begin next year.",corporate,needs_verification
